source	target	category	domain	source_tag	status	scope	notes
Berserker	狂战士	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Archer	弓箭手	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Rogue	盗贼	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Warrior	战士系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业描述中使用“战士系”
Mage	法师系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业描述中使用“法师系”
Arcane Blade	奥术之刃	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Sun Paladin	太阳骑士	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Anorithil	星月术士	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Doomed	末日使者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Cursed	被诅咒者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Reaver	收割者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Corruptor	腐化者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Oozemancer	软泥使	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Wyrmic	龙战士	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Stone Warden	岩石守卫	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Temporal Warden	时空守卫	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Paradox Mage	时空法师	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Alchemist	炼金术师	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Necromancer	死灵法师	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Summoner	召唤师	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Archmage	元素法师	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Brawler	格斗家	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Bulwark	盾战士	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Celestial	天空系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业类别名
Chronomancer	时空系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业类别名
Defiler	堕落系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业类别名
Marauder	掠夺者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Mindslayer	心灵杀手	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Psionic	灵能系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业类别名
Shadowblade	影舞者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Skirmisher	散兵	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Solipsist	织梦者	T.GAME.CLASS	classes	birth descriptor name	existing	core	
Wilder	野性系	T.GAME.CLASS	classes	birth descriptor name	existing	core	职业类别名
Annihilator	歼灭者	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	兽人战役职业
Cultist of Entropy	熵教徒	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	Cults of Entropy 职业
Demonologist	恶魔使者	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	Ashes of Urh'Rok 职业
Demented	疯狂系	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	Cults of Entropy 职业类别名
Doombringer	毁灭使者	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	Ashes of Urh'Rok 职业
Empyreal	高天者	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	兽人战役职业
Possessor	占据者	T.GAME.CLASS	classes	birth descriptor name	preferred	dlc	Possessors 职业；占据敌人躯体作战；P1 审核确认
Sawbutcher	链锯屠夫	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	兽人战役职业
Writhing One	蜿蜒怪人	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	Cults of Entropy 职业
Tinker	工匠系	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	
Gunslinger	枪手	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	
Psyshot	灵能射手	T.GAME.CLASS	classes	birth descriptor name	existing	dlc	
