source	target	category	domain	source_tag	status	scope	notes
corrupted	腐化	T.GAME.EFFECT	creatures	effect subtype	preferred	global	状态效果语境
animal	动物	T.GAME.ENTITY	creatures	entity type	existing	global	
construct	构装体	T.GAME.ENTITY	creatures	entity type	preferred	global	机械或魔法制造的生物实体类型；与种族 Construct“构装生物”区分，不作“机关”
demon	恶魔	T.GAME.ENTITY	creatures	entity type	existing	global	
dragon	龙	T.GAME.ENTITY	creatures	entity type	existing	global	
elemental	元素生物	T.GAME.ENTITY	creatures	entity type	preferred	global	entity type 统一为“元素生物”；entity keyword 与 effect subtype 保持“元素”
giant	巨人	T.GAME.ENTITY	creatures	entity type	existing	global	
horror	恐魔	T.GAME.ENTITY	creatures	entity type	existing	global	
humanoid	人形生物	T.GAME.ENTITY	creatures	entity type	existing	global	
insect	昆虫	T.GAME.ENTITY	creatures	entity type	existing	global	
undead	亡灵	T.GAME.ENTITY	creatures	entity type	existing	global	
vermin	害虫	T.GAME.ENTITY	creatures	entity type	existing	global	
void	虚空	T.GAME.ENTITY	creatures	entity type	existing	global	
human	人类	T.GAME.ENTITY	creatures	entity subtype	existing	global	生物实体子类型
elf	精灵	T.GAME.ENTITY	creatures	entity subtype	existing	global	生物实体子类型
orc	兽人	T.GAME.ENTITY	creatures	entity subtype	existing	global	生物实体子类型
halfling	半身人	T.GAME.ENTITY	creatures	entity subtype	existing	global	生物实体子类型
dwarf	矮人	T.GAME.ENTITY	creatures	entity subtype	existing	global	生物实体子类型
golem	傀儡	T.GAME.ENTITY	creatures	entity subtype	existing	global	
ghost	幽灵	T.GAME.ENTITY	creatures	entity subtype	existing	global	
troll	巨魔	T.GAME.ENTITY	creatures	entity subtype	existing	global	
#rng# the Invoker	#rng#祈唤者	T.GAME.ENTITY	creatures	_t	preferred	core	怪物称号；与译文一致，保留 #rng# 标记在前的源文顺序
eldritch	骇异	T.GAME.ENTITY	creatures	entity subtype	preferred	global	1.8beta 在核心和 Cults of Entropy 中统一使用；专名（Eldritch eye 艾尔德里奇之眼、Eldritch Channeler 埃尔德里奇主宰者）保留音译
dread	噩灵	T.GAME.ENTITY	creatures	entity name	preferred	core	Dread 召唤物实体
dreadmaster	噩灵之王	T.GAME.ENTITY	creatures	entity name	preferred	core	Dreadmaster 召唤物实体
corrupted	腐化	T.GAME.ENTITY	creatures	entity subtype	preferred	global	实体子类型语境
radiant horror	光芒恐魔	T.GAME.ENTITY	creatures	entity name	preferred	core	核心实体名称；与 1.8beta 的实体译法一致，描述性复数文本仍按语境处理
hummerhorn	大黄蜂	T.GAME.ENTITY	creatures	entity name	preferred	core	核心实体名称；配方材料名与任务说明统一使用
luminous horror	金色恐魔	T.GAME.ENTITY	creatures	entity name	preferred	core	核心实体名称；与 radiant horror“光芒恐魔”区分
vampire lord	吸血鬼领主	T.GAME.ENTITY	creatures	entity name	preferred	core	核心实体名称；与译文统一（2026-08 批次统一为吸血鬼领主），配方材料沿用同一译名
mechanical	机械	T.GAME.ENTITY	creatures	entity type	existing	dlc	Embers of Rage 实体类型
natural	自然	T.GAME.ENTITY	creatures	entity type	preferred	core	自然类陷阱的实体类型；entity keyword 语境可指“自然主义者”
reptile	爬行动物	T.GAME.ENTITY	creatures	entity type	existing	dlc	Embers of Rage 实体类型
steamtech	蒸汽科技	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Embers of Rage 实体子类型
yeti	雪人	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Embers of Rage 实体子类型
krog	克罗格	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Cults of Entropy 实体子类型
ritch	里奇	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Embers of Rage 实体子类型
mech	机械	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Embers of Rage 实体子类型
shertul	夏·图尔	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Cults of Entropy 实体子类型
maggot	蛆虫	T.GAME.ENTITY	creatures	entity subtype	existing	dlc	Cults of Entropy 实体子类型
carrion worm mass	腐肉虫群	T.GAME.ENTITY	creatures	entity name	existing	core	统一实体名、生成日志及腐肉虫疾病描述
Lone Wolf	孤狼	T.GAME.ENTITY	creatures	entity name	preferred	core	教程任务目标与实体名；统一为简洁专名，不译作“寂寞的狼”
organic	有机	T.GAME.ENTITY	creatures	entity type	preferred	core	炼金材料的实体类型；表示有机材料分类，不译作具体的“器官”
bloated ooze	浮肿软泥怪	T.GAME.ENTITY	creatures	_t	preferred	core	软泥系“有丝分裂”生成的召唤物；统一实体名及“软泥召唤”“强化吸收”等技能说明，不省略“软泥”
multi-hued	多彩	T.GAME.ENTITY	creatures	entity subtype	preferred	global	实体生成修饰语；与 multihued entity subtype 的既有“多彩”统一，不使用名词性“混晶石”
shivgoroth	西弗格罗斯	T.GAME.ENTITY	creatures	entity name	preferred	core	寒冰元素生物专名；统一实体名、形态技能、状态说明与变形日志，不写作“西弗戈洛斯”
The Withering Thing	凋零之物	T.GAME.ENTITY	creatures	entity name	preferred	core	黑暗之心中的首领实体；保留 Thing 的名词性，不省略为“凋零”
The Dreaming One	沉梦者	T.GAME.ENTITY	creatures	entity name	preferred	core	黑暗之心中的沉睡首领；与 Eye of the Dreaming One“梦境之眼”物品名区分
DESTRUCTICUS	毁灭号	T.GAME.ENTITY	creatures	_t	preferred	dlc	Embers of Rage 武器“裂天者 毁灭号”的简称；欢呼与叙词统一为“毁灭号”，不写作“毁天灭地”
Shalore	永恒精灵	T.PN.RACE	creatures	nil	existing	core	
Sher'Tul	夏·图尔	T.PN.RACE	creatures	nil	existing	core	
Thalore	自然精灵	T.PN.RACE	creatures	nil	existing	core	
Undead	不死族	T.PN.RACE	creatures	nil	existing	core	
Human	人类	T.PN.RACE	creatures	birth descriptor name	existing	core	
Halfling	半身人	T.PN.RACE	creatures	birth descriptor name	existing	core	
Dwarf	矮人	T.PN.RACE	creatures	birth descriptor name	existing	core	
Ogre	食人魔	T.PN.RACE	creatures	birth descriptor name	existing	core	
Ghoul	食尸鬼	T.PN.RACE	creatures	birth descriptor name	existing	core	
Skeleton	骷髅	T.PN.RACE	creatures	birth descriptor name	existing	core	
Yeek	夺心魔	T.PN.RACE	creatures	birth descriptor name	existing	core	
Orc	兽人	T.PN.RACE	creatures	birth descriptor name	existing	dlc	
Construct	构装生物	T.PN.RACE	creatures	birth descriptor name	existing	core	构装生物种族
Cornac	科纳克人	T.PN.RACE	creatures	birth descriptor name	existing	core	人类分支种族
Elf	精灵	T.PN.RACE	creatures	birth descriptor name	existing	core	精灵种族总称
Giant	巨人	T.PN.RACE	creatures	birth descriptor name	existing	core	巨人种族总称
Lich	巫妖	T.PN.RACE	creatures	birth descriptor name	existing	core	亡灵种族/形态
Drem	德瑞姆	T.PN.RACE	creatures	birth descriptor name	existing	dlc	Cults of Entropy 种族
Krog	克罗格	T.PN.RACE	creatures	birth descriptor name	existing	dlc	Cults of Entropy 种族
Kruk Yeti	克鲁克雪人	T.PN.RACE	creatures	birth descriptor name	existing	dlc	兽人战役种族
Whitehoof	白蹄	T.PN.RACE	creatures	birth descriptor name	existing	dlc	兽人战役种族
Yeti	雪人	T.PN.RACE	creatures	birth descriptor name	existing	dlc	兽人战役种族
Doomelf	魔化精灵	T.PN.RACE	creatures	birth descriptor name	existing	dlc	Ashes of Urh'Rok 种族
