source	target	category	domain	source_tag	status	scope	notes
Stamina	体力值	T.GAME.RESOURCE	resources	_t	existing	core	
Mana	法力值	T.GAME.RESOURCE	resources	_t	existing	core	
Equilibrium	失衡值	T.GAME.RESOURCE	resources	_t	existing	core	
Vim	活力值	T.GAME.RESOURCE	resources	_t	existing	core	
Paradox	紊乱值	T.GAME.RESOURCE	resources	_t	existing	core	
Psi	灵能值	T.GAME.RESOURCE	resources	_t	existing	core	
Insanity	疯狂值	T.GAME.RESOURCE	resources	_t	existing	dlc	Cults of Entropy 角色资源
Steam	蒸汽	T.GAME.RESOURCE	resources	_t	existing	dlc	Embers of Rage 角色资源
Steam each turn: 	每回合蒸汽回复：	T.GAME.RESOURCE	resources	_t	existing	dlc	Embers of Rage 界面标签；保留源码尾随空格
Maximum steam: 	蒸汽容量：	T.GAME.RESOURCE	resources	_t	existing	dlc	Embers of Rage 界面标签；保留源码尾随空格
Heavy Ammunition	重装武器弹药	T.GAME.RESOURCE	resources	_t	preferred	dlc	Embers of Rage 重装武器消耗的专用弹药；与同系提示语统一
Hate	仇恨值	T.GAME.RESOURCE	resources	nil	preferred	core	诅咒系职业资源；技能描述中统一不用“怒气”
