source	target	category	domain	source_tag	status	scope	notes
class	职业	T.GAME.TALENT_CATEGORY	talents	talent type	existing	core	
race	种族技能	T.GAME.TALENT_CATEGORY	talents	talent type	existing	core	
technique	格斗	T.GAME.TALENT_CATEGORY	talents	talent category	existing	core	
spell	法术	T.GAME.TALENT_CATEGORY	talents	talent category	existing	core	
chronomancy	时空	T.GAME.TALENT_CATEGORY	talents	talent category	existing	core	
corruption	堕落	T.GAME.TALENT_CATEGORY	talents	talent category	existing	core	
inscriptions	刻印	T.GAME.TALENT_CATEGORY	talents	talent category	preferred	global	统一核心和兽人战役的技能类别译法；具体类型仍使用“纹身/符文”
infusions	纹身	T.GAME.TALENT_CATEGORY	talents	talent type	existing	core	
wildfire	焱	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	技能类型与技能树内部名称；与“焱系”“焱之书”保持一致，普通描述中的 wildfire 仍按语境译为“野火”
infusion	充能	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	炼金术师为宝石炸弹注入元素力量的技能类型；区别于刻印物品 Infusion（纹身）
necrosis	坏死	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	死灵法师操控生命衰败、负生命与死亡边界的技能类型；区别于 necromancy（死灵法术）
runes	符文	T.GAME.TALENT_CATEGORY	talents	talent type	existing	core	
psionic	灵能	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
wild-gift	自然	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
celestial	天空	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
cursed	诅咒	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
golem	傀儡	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
undead	亡灵	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
demented	疯狂	T.GAME.TALENT_CATEGORY	talents	talent category	existing	dlc	
sher'tul	夏·图尔	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
uber	觉醒技	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	高阶/觉醒技能类别
misc	杂项	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
other	其他	T.GAME.TALENT_CATEGORY	talents	talent category	existing	global	
trance	入定	T.GAME.TALENT_CATEGORY	talents	talent type	preferred	core	灵能系技能类型；指专注的入定状态，不是幻想
