source	target	category	domain	source_tag	status	scope	notes
Skin	皮肤	T.UI.LABEL	ui	birth facial category	existing	global	角色外观分类
Hairs	发型	T.UI.LABEL	ui	birth facial category	existing	global	角色外观分类
Facial features	脸部特征	T.UI.LABEL	ui	birth facial category	existing	global	角色外观分类
Horns	角	T.UI.LABEL	ui	birth facial category	existing	global	角色外观分类
Special	特殊	T.UI.LABEL	ui	birth facial category	existing	global	角色外观分类
Tatoos	纹身	T.UI.LABEL	ui	birth facial category	existing	global	游戏源码拼写为 Tatoos
The Arena	竞技场	T.UI.LABEL	ui	_t	existing	core	与成就名称同源但分类不同
Cancel	取消	T.UI.LABEL	ui	_t	preferred	global	通用界面按钮（42 处）；对话框/菜单取消操作
Summon	召唤	T.UI.LABEL	ui	_t	preferred	global	召唤界面/技能按钮（18 处）；与召唤师职业名区分
Name	名称	T.UI.LABEL	ui	_t	preferred	global	界面标签（17 处）
[leave]	[离开]	T.UI.LABEL	ui	_t	preferred	global	地图/传送界面离开选项（16 处），保留半角方括号
unknown	未知	T.UI.LABEL	ui	_t	preferred	global	未知条目/名称占位（15 处）
